player,minutes,estimated_value
Aaron Wan-Bissaka,2704,€29.7M
Aaron Ramsdale,2160,€18.7M
Abdoulaye Doucouré,2245,€5.8M
Adam Smith,1146,€1.5M
Adam Wharton,1088,€49.3M
Adama Traoré,1482,€8.2M
Alejandro Garnacho,1876,€59.2M
Alex Iwobi,2463,€31.2M
Alexander Isak,2265,€119.4M
Alexis Mac Allister,2381,€117M
Alisson,1968,€24.5M
Amad Diallo,1594,€48.6M
Amadou Onana,1254,€64.4M
Andreas Pereira,1676,€18.9M
Andrew Robertson,2218,€20.6M
André Onana,2790,€34.2M
André,1997,€29.4M
Anthony Elanga,2007,€45.6M
Anthony Gordon,2121,€52.4M
Antoine Semenyo,2645,€45.4M
Antonee Robinson,2719,€42.7M
Archie Gray,1346,€72.5M
Ashley Young,1586,€1.3M
Axel Tuanzebe,1355,€4.3M
Bart Verbruggen,2700,€32M
Ben Johnson,1222,€12.6M
Ben Davies,901,€5.1M
Bernardo Silva,2131,€51.1M
Bernd Leno,2790,€16M
Beto,1101,€24.4M
Bilal El Khannouss,1748,€40.6M
Boubacar Kamara,1202,€45.2M
Boubakary Soumaré,1818,€15.3M
Brennan Johnson,1969,€67M
Bruno Fernandes,2636,€61.2M
Bruno Guimarães,2661,€82.3M
Bryan Mbeumo,2874,€57.6M
Bukayo Saka,1366,€113M
Caleb Okoli,1124,€16.6M
Callum Hudson-Odoi,2074,€25.4M
Calvin Bassey,2534,€29.9M
Cameron Archer,1314,€18.6M
Cameron Burgess,1215,€1.7M
Carlos Soler,1257,€23.3M
Carlos Baleba,2147,€51M
Casemiro,1271,€11.6M
Chris Wood,2434,€7.9M
Chris Richards,1428,€15.7M
Christian Nørgaard,2279,€10.8M
Christian Eriksen,903,€3.9M
Christopher Nkunku,921,€51.3M
Cody Gakpo,1501,€67.7M
Cole Palmer,2652,€117.4M
Conor Coady,1174,€2.3M
Craig Dawson,971,€1.5M
Cristian Romero,1371,€60M
Curtis Jones,1414,€61.6M
Daichi Kamada,1198,€15.1M
Dan Burn,2700,€8.4M
Dango Ouattara,1685,€28.2M
Daniel Muñoz,2598,€28.9M
Danny Welbeck,1686,€5.9M
Dara O'Shea,2582,€21.8M
Darwin Núñez,1010,€59.7M
David Raya,2880,€28.7M
Dean Henderson,2790,€22.7M
Dean Huijsen,1874,€56.3M
Declan Rice,2410,€116.4M
Dejan Kulusevski,2170,€60.3M
Destiny Udogie,1744,€59.4M
Diogo Jota,1043,€58.6M
Diogo Dalot,2756,€37.5M
Djed Spence,1334,€19.2M
Dominic Solanke,2028,€51M
Dominic Calvert-Lewin,1574,€17.8M
Dominik Szoboszlai,2120,€70.5M
Dwight McNeil,1145,€27M
Eberechi Eze,2174,€62.2M
Ederson,1960,€19.5M
Edson Álvarez,1633,€36.7M
Elliot Anderson,2227,€46.2M
Emerson Palmieri,1851,€12.7M
Emile Smith Rowe,1805,€40.4M
Emiliano Martínez,2700,€23M
Enzo Fernández,2410,€74.2M
Erling Haaland,2480,€199.6M
Ethan Pinnock,1913,€7.6M
Evanilson,1723,€26.9M
Ezri Konsa,2396,€44.3M
Fabian Schär,2322,€7.5M
Facundo Buonanotte,1399,€31.1M
Flynn Downes,1611,€8.5M
Gabriel Martinelli,1794,€60M
Georginio Rutter,1656,€41.2M
Guglielmo Vicario,1800,€41.6M
Guido Rodríguez,1018,€13.6M
Harry Maguire,1418,€13.8M
Harry Winks,1538,€11.5M
Harvey Barnes,1172,€42.6M
Ibrahima Konaté,2140,€57.2M
Iliman Ndiaye,2039,€24.9M
Illia Zabarnyi,2527,€55.1M
Issa Diop,1339,€17.9M
Jack Stephens,984,€1.4M
Jack Clarke,960,€19.4M
Jack Hinshelwood,1505,€9.2M
Jack Harrison,1747,€17.9M
Jacob Ramsey,1406,€45.7M
Jacob Greaves,1665,€25.4M
Jacob Murphy,1893,€17.9M
Jadon Sancho,1610,€36.2M
Jake O'Brien,1121,€19.7M
James Garner,1054,€23.2M
James Justin,2526,€16.4M
James Tarkowski,2871,€15.5M
James Maddison,1764,€57.3M
Jamie Vardy,2421,€1.2M
Jan Bednarek,2171,€13M
Jan Paul van Hecke,2509,€41.9M
Jannik Vestergaard,1391,€2M
Jarrad Branthwaite,2078,€32.9M
Jarrod Bowen,2456,€48.4M
Jean-Clair Todibo,1305,€36.1M
Jean-Philippe Mateta,2302,€31.7M
Jean-Ricner Bellegarde,1479,€21.3M
Jefferson Lerma,1811,€12.8M
Jens Cajuste,1694,€15.4M
Jesper Lindstrøm,1239,€24.4M
Joachim Andersen,1953,€32.9M
Joe Aribo,1909,€8M
Joelinton,2242,€45.7M
John McGinn,1891,€21.6M
Jordan Pickford,2880,€23.8M
Jordan Ayew,1310,€4.5M
Joshua Zirkzee,1402,€43.3M
José Sá,2250,€8.6M
João Pedro,1888,€61.3M
João Gomes,2511,€51.1M
Joël Veltman,1643,€5.9M
Joško Gvardiol,2737,€77.4M
Justin Kluivert,1936,€44.3M
Jørgen Strand Larsen,2314,€30.3M
Kalvin Phillips,1214,€17.3M
Kamaldeen Sulemana,972,€18.5M
Kaoru Mitoma,2467,€49.2M
Keane Lewis-Potter,2639,€27.3M
Kenny Tete,1271,€13.4M
Kepa Arrizabalaga,2160,€11.4M
Kevin Schade,1845,€29.7M
Kevin De Bruyne,1279,€20.4M
Kieran Trippier,949,€4.5M
Kobbie Mainoo,1294,€54.8M
Konstantinos Mavropanos,1849,€19.1M
Kristoffer Ajer,1363,€21.5M
Kyle Walker-Peters,2648,€16.6M
Leandro Trossard,2091,€31.8M
Leif Davis,2532,€28.4M
Leny Yoro,967,€66.2M
Leon Bailey,1138,€38.6M
Lesley Ugochukwu,1267,€27.1M
Levi Colwill,2609,€59.8M
Lewis Hall,2189,€36.1M
Lewis Dunk,1813,€7.1M
Lewis Cook,2572,€19.5M
Liam Delap,2344,€33M
Lisandro Martínez,1751,€49.2M
Lucas Digne,2151,€14.8M
Lucas Bergvall,1112,€31.3M
Lucas Paquetá,2077,€73.5M
Luis Díaz,2061,€69.3M
Luke Woolfenden,1007,€2M
Mads Hermansen,2205,€19.2M
Malo Gusto,1776,€36.1M
Manuel Akanji,1707,€43.7M
Marc Cucurella,2448,€39.6M
Marc Guéhi,2609,€48.9M
Marcos Senesi,963,€20.3M
Marcus Tavernier,1505,€24.4M
Marcus Rashford,978,€58.6M
Mark Flekken,2735,€13.9M
Martin Dúbravka,900,€1.2M
Mateo Kovačić,1857,€25.3M
Mateus Fernandes,2409,€22.5M
Matheus Nunes,1224,€42.3M
Matheus Cunha,2164,€62.6M
Matt Doherty,1809,€4M
Matthijs de Ligt,2089,€50.8M
Matty Cash,1560,€32.8M
Matz Sels,2880,€10.2M
Max Kilman,2808,€39.3M
Maxence Lacroix,2486,€25.8M
Micky van de Ven,905,€62M
Mikel Merino,1345,€39.7M
Mikkel Damsgaard,2409,€28.6M
Mohamed Salah,2831,€18.3M
Mohammed Kudus,2167,€63M
Moisés Caicedo,2811,€82.8M
Morgan Rogers,2597,€79.6M
Morgan Gibbs-White,2288,€61.7M
Murillo,2748,€66M
Myles Lewis-Skelly,959,€35.7M
Nathan Collins,2880,€30.7M
Neco Williams,2054,€22.6M
Nick Pope,1890,€11.5M
Nicolas Jackson,1948,€66.9M
Nicolás Domínguez,1567,€18.8M
Nikola Milenković,2790,€40.6M
Noni Madueke,1601,€52.3M
Noussair Mazraoui,2475,€45.3M
Nélson Semedo,2415,€8.3M
Ola Aina,2569,€19.3M
Ollie Watkins,2167,€63.2M
Orel Mangala,1261,€24.4M
Pape Matar Sarr,1511,€50.8M
Pau Torres,1639,€46.1M
Paul Onuachu,916,€12.7M
Pedro Neto,1743,€60.4M
